ID,Nome,Categoria
R-080,IHIMER 14NXT,MINI
R-123,IHIMER 19VXT,MINI
R-157,HITACHI ZX26 U,MIDI
R-037,AIRMAN AX 45.2,MIDI
R-047,YANMAR V50,MIDI
R-088,VOLVO EC R58,MIDI
R-113,IHIMER 40NX2,MIDI
R-130,YANMAR VIO57,MIDI
R-118,LIEBHERR ESCAVATORE,COMPACT
R-131,PALA CAT 908,PALA
R-008,BOBCAT 443 H,MINIPALA
R-025,BOBCAT 853 H,MIDIPALA
R-117,CATERPILLAR 289D,MIDIPALA
A-026,CATERPILLAR 289D,MIDIPALA
R-152,PALA HITACHI,PALA
R-103,LIEBHERR A312,GOMMATO
R-127,VOLVO EWR 150,GOMMATO
R-135,MECALAC 15 MWR,GOMMATO
R-136,MECALAC 9 MWR,GOMMATO
R-146,MECALAC 11 MWR,GOMMATO
R-147,MECALAC MiniDumper TA 3.5,GOMMATO
R-149,MECALAC 8 MC R01,CINGOLATO
R-153,MECALAC 8 MC R01,CINGOLATO
A-011,RULLO AMMAN,RULLO
R-098,MANITOU MRT 1432,TELESCOPICO
R-134,MANITOU MRT 1850,TELESCOPICO
